Experience Level,Employment Type,Job Title,Salary,Employee Residence,Company Location,Company Size
MI,FT,Data Scientist,79833,DE,DE,L
SE,FT,Machine Learning Scientist,260000,JP,JP,S
SE,FT,Big Data Engineer,109024,GB,GB,M
MI,FT,Product Data Analyst,20000,HN,HN,S
SE,FT,Machine Learning Engineer,150000,US,US,L
EN,FT,Data Analyst,72000,US,US,L
SE,FT,Lead Data Scientist,190000,US,US,S
MI,FT,Data Scientist,35735,HU,HU,L
MI,FT,Business Data Analyst,135000,US,US,L
SE,FT,Lead Data Engineer,125000,NZ,NZ,S
EN,FT,Data Scientist,51321,FR,FR,S
MI,FT,Data Scientist,40481,IN,IN,L
EN,FT,Data Scientist,39916,FR,FR,M
MI,FT,Lead Data Analyst,87000,US,US,L
MI,FT,Data Analyst,85000,US,US,L
MI,FT,Data Analyst,8000,PK,PK,L
EN,FT,Data Engineer,41689,JP,JP,S
SE,FT,Big Data Engineer,114047,PL,GB,S
EN,FT,Data Science Consultant,5707,IN,IN,M
MI,FT,Lead Data Engineer,56000,PT,US,M
MI,FT,Machine Learning Engineer,43331,CN,CN,M
MI,FT,Product Data Analyst,6072,IN,IN,L
SE,FT,Data Engineer,47899,GR,GR,L
MI,FT,BI Data Analyst,98000,US,US,M
MI,FT,Lead Data Scientist,115000,AE,AE,L
EX,FT,Director of Data Science,325000,US,US,L
EN,FT,Research Scientist,42000,NL,NL,L
SE,FT,Data Engineer,33511,MX,MX,S
EN,CT,Business Data Analyst,100000,US,US,L
SE,FT,Machine Learning Manager,117104,CA,CA,L
MI,FT,Data Engineering Manager,59303,DE,DE,S
EN,FT,Big Data Engineer,70000,US,US,L
SE,FT,Data Scientist,68428,GR,US,L
MI,FT,Research Scientist,450000,US,US,M
MI,FT,Data Analyst,46759,FR,FR,L
MI,FT,Data Engineer,74130,AT,AT,L
MI,FT,Data Science Consultant,103000,US,US,L
EN,FT,Machine Learning Engineer,250000,US,US,L
EN,FT,Data Analyst,10000,NG,NG,S
EN,FT,Machine Learning Engineer,138000,US,US,S
MI,FT,Data Scientist,45760,PH,US,S
EX,FT,Data Engineering Manager,79833,ES,ES,L
MI,FT,Machine Learning Infrastructure Engineer,50180,PT,PT,M
MI,FT,Data Engineer,106000,US,US,L
MI,FT,Data Engineer,112872,GB,GB,L
EN,PT,ML Engineer,15966,DE,DE,S
MI,FT,Data Scientist,76958,GB,GB,S
SE,FT,Data Engineer,188000,US,US,L
MI,FT,Data Scientist,105000,US,US,L
MI,FT,Data Engineer,70139,FR,FR,L
EN,FT,Data Analyst,6072,IN,IN,S
EN,FT,Data Analyst,91000,US,US,L
EN,FT,AI Scientist,45896,DK,DK,S
EN,FT,Data Engineer,54742,PK,DE,L
SE,FL,Computer Vision Engineer,60000,RU,US,S
SE,FT,Principal Data Scientist,148261,DE,DE,M
MI,FT,Data Scientist,38776,ES,ES,M
MI,FT,Data Scientist,118000,US,US,M
SE,FT,Data Scientist,120000,US,US,L
MI,FT,Data Scientist,138350,US,US,M
MI,FT,Data Engineer,110000,US,US,L
MI,FT,Data Engineer,130800,ES,US,M
EN,PT,Data Scientist,21669,IT,IT,S
SE,FT,Data Scientist,412000,US,US,L
SE,FT,Machine Learning Engineer,45618,HR,HR,S
EN,FT,Data Scientist,62726,DE,DE,S
EN,FT,Data Scientist,49268,DE,DE,S
SE,FT,Data Science Manager,190200,US,US,M
EN,FT,Data Scientist,105000,US,US,S
SE,FT,Data Scientist,91237,AT,AT,S
MI,FT,Data Scientist,62726,FR,LU,S
MI,FT,Data Scientist,42197,FR,FR,S
EN,FT,Research Scientist,82528,GB,GB,L
EX,FT,BI Data Analyst,150000,IN,US,L
EX,FT,Head of Data,235000,US,US,L
SE,FT,Data Scientist,53192,FR,FR,L
MI,FT,BI Data Analyst,100000,US,US,M
MI,PT,3D Computer Vision Researcher,5409,IN,IN,M
MI,CT,ML Engineer,270000,US,US,L
EN,FT,Data Analyst,80000,US,US,M
SE,FT,Data Analytics Engineer,79197,DE,DE,L
MI,FT,Data Engineer,140000,US,US,L
MI,FT,Applied Data Scientist,54238,GB,CA,L
MI,FT,Machine Learning Engineer,47282,ES,ES,S
EX,FT,Director of Data Science,153667,IT,PL,L
MI,FT,Data Engineer,28476,PL,PL,L
EN,FT,Data Analyst,59102,FR,FR,M
MI,FT,Data Analytics Engineer,110000,US,US,L
SE,FT,Lead Data Analyst,170000,US,US,L
SE,FT,Data Analyst,80000,BG,US,S
SE,FT,Marketing Data Analyst,88654,GR,DK,L
EN,FT,Data Science Consultant,76833,DE,DE,S
MI,FT,Lead Data Analyst,19609,IN,IN,L
SE,FT,Lead Data Engineer,276000,US,US,L
EN,FT,Data Scientist,29751,IN,IN,L
MI,FT,Cloud Data Engineer,89294,SG,SG,L
EN,PT,AI Scientist,12000,BR,US,S
MI,FT,Financial Data Analyst,450000,US,US,L
EN,FT,Computer Vision Software Engineer,70000,US,US,M
MI,FT,Computer Vision Software Engineer,95746,DE,US,S
MI,FT,Data Analyst,75000,US,US,L
SE,FT,Data Engineer,150000,US,US,L
MI,FT,BI Data Analyst,36259,HU,US,L
MI,FT,Data Analyst,62000,US,US,L
MI,FT,Data Scientist,73000,US,US,L
MI,FT,Data Analyst,51519,GB,GB,L
MI,FT,Research Scientist,187442,CA,CA,L
SE,FT,Data Engineer,115000,US,US,S
SE,FT,Data Engineer,150000,US,US,M
EN,FT,Data Engineer,30428,IN,IN,L
SE,FT,Machine Learning Engineer,94564,DE,DE,L
SE,FT,Director of Data Engineering,113476,GB,GB,M
SE,FT,Lead Data Engineer,103160,GB,GB,S
EN,PT,AI Scientist,12000,PK,US,M
MI,FT,Data Engineer,45391,NL,NL,L
