Age,Education Level,Years of Experience,Role,Department,Location,Salary
55,Master,23,Consultant,HR,Austin,146393.29
55,PhD,24,Data Scientist,HR,Seattle,210614.14
47,Associate,18,Data Analyst,Operations,Seattle,112785.56
22,High School,0,Product Manager,Product,Austin,52621.61
53,Bachelor,13,Business Analyst,IT,Chicago,109569.1
54,Master,2,Product Manager,Product,Los Angeles,127356.88
50,Associate,10,Data Analyst,HR,Los Angeles,99459.65
34,Master,5,Data Analyst,Customer Support,New York,101746.45
55,Associate,8,QA Engineer,Operations,Austin,77162.64
35,PhD,1,Business Analyst,Product,San Francisco,123157.17
45,Associate,16,Business Analyst,Operations,Seattle,106124.09
33,Master,0,Data Scientist,Marketing,Seattle,94067.94
57,Master,15,Manager,Customer Support,Chicago,142606.97
45,Bachelor,1,QA Engineer,Finance,Boston,70450.64
52,PhD,3,Product Manager,Customer Support,Chicago,144202.1
53,Master,0,System Administrator,Finance,Chicago,79161.79
60,Associate,30,Data Analyst,Marketing,Chicago,140946.91
54,Master,1,System Administrator,Customer Support,Austin,71573.17
33,High School,3,Product Manager,HR,Seattle,77115.92
53,Bachelor,29,System Administrator,Customer Support,Los Angeles,144786.09
26,Associate,4,Manager,Marketing,Boston,78057.36
24,Associate,1,Manager,Customer Support,San Francisco,88284.65
25,Bachelor,2,Business Analyst,HR,Los Angeles,74514.3
39,High School,15,Data Analyst,Marketing,Los Angeles,98433.37
26,Bachelor,2,Manager,Customer Support,Austin,71740.84
50,Master,24,Product Manager,Finance,New York,206447.35
55,Associate,24,Consultant,IT,Chicago,135609.11
34,Master,3,Manager,Customer Support,New York,123124.69
24,Associate,2,Consultant,Finance,New York,69213.31
43,PhD,2,QA Engineer,IT,Chicago,97634.39
26,PhD,2,Data Analyst,IT,Los Angeles,115797.76
53,High School,28,Data Analyst,Operations,Chicago,125498.83
25,Master,2,Business Analyst,Marketing,Los Angeles,95706.79
56,High School,7,Consultant,Marketing,Chicago,76947.01
55,PhD,9,Software Engineer,IT,Boston,160180.27
32,Master,7,Data Analyst,IT,San Francisco,113296.71
57,Bachelor,22,QA Engineer,Marketing,New York,137623.59
59,High School,0,Data Analyst,Product,Seattle,65274.24
24,Bachelor,1,Data Analyst,Operations,San Francisco,76718.74
36,PhD,3,QA Engineer,Product,Austin,92604.37
56,Associate,15,QA Engineer,Customer Support,San Francisco,121957.9
26,High School,1,System Administrator,HR,Chicago,51484.61
57,PhD,4,Data Analyst,Finance,New York,131533.41
41,PhD,4,Data Scientist,Finance,New York,155268.85
46,High School,13,Product Manager,Marketing,Seattle,116786.14
37,Bachelor,0,Data Scientist,Product,Austin,66143.29
38,High School,5,Consultant,Marketing,Los Angeles,80857.04
36,PhD,5,Data Scientist,HR,San Francisco,161708.06
37,High School,15,System Administrator,IT,Austin,70032.27
48,Master,15,Consultant,HR,Seattle,132281.74
38,PhD,15,Business Analyst,HR,Chicago,135325.82
43,Master,15,Product Manager,Operations,Chicago,140505.06
24,Bachelor,0,Consultant,Operations,Seattle,66478.91
55,PhD,20,Data Scientist,Product,Seattle,201559.12
39,High School,14,Data Scientist,Finance,San Francisco,122937.29
32,PhD,1,Business Analyst,Finance,Austin,94852.56
52,High School,25,Business Analyst,Customer Support,Austin,115233.86
59,PhD,1,System Administrator,IT,Boston,103361.4
59,Associate,1,QA Engineer,Customer Support,Chicago,68572.63
52,Associate,27,Data Scientist,Customer Support,New York,174706.72
43,Master,20,Product Manager,Finance,Chicago,164878.28
50,PhD,15,Software Engineer,HR,Chicago,158253.3
